-1.863,-1.610,-1.530,-1.480,-1.886,-1.759,1.637,1.199,1.467,-1.638,1.873,1.920,1.697,1.186,-1.636,-1.637
-0.107,-0.094,-0.089,-0.088,-0.111,-0.103,0.094,0.067,0.085,-0.096,0.113,0.112,0.101,0.069,-0.095,-0.094
-0.112,-0.098,-0.093,-0.091,-0.116,-0.108,0.098,0.071,0.089,-0.100,0.119,0.117,0.106,0.072,-0.100,-0.099
-0.108,-0.094,-0.089,-0.089,-0.112,-0.104,0.094,0.067,0.086,-0.097,0.114,0.113,0.101,0.069,-0.096,-0.095
-0.101,-0.088,-0.084,-0.084,-0.105,-0.098,0.088,0.063,0.080,-0.091,0.107,0.106,0.095,0.065,-0.090,-0.089
-0.108,-0.094,-0.089,-0.086,-0.110,-0.103,0.095,0.068,0.087,-0.096,0.115,0.113,0.104,0.069,-0.096,-0.096
-0.103,-0.090,-0.086,-0.085,-0.107,-0.100,0.090,0.064,0.082,-0.093,0.109,0.108,0.097,0.066,-0.092,-0.090
-0.103,-0.090,-0.085,-0.085,-0.107,-0.099,0.090,0.064,0.082,-0.092,0.109,0.108,0.097,0.066,-0.092,-0.090
-0.111,-0.097,-0.092,-0.090,-0.115,-0.107,0.097,0.070,0.089,-0.099,0.118,0.117,0.105,0.071,-0.099,-0.098
-0.103,-0.090,-0.085,-0.085,-0.107,-0.100,0.090,0.064,0.082,-0.093,0.109,0.108,0.097,0.066,-0.092,-0.090
-0.100,-0.087,-0.083,-0.083,-0.104,-0.097,0.087,0.062,0.079,-0.090,0.106,0.105,0.094,0.064,-0.089,-0.088
-0.110,-0.096,-0.091,-0.090,-0.114,-0.106,0.096,0.069,0.088,-0.099,0.117,0.116,0.104,0.071,-0.098,-0.097
-0.110,-0.096,-0.091,-0.090,-0.114,-0.106,0.096,0.069,0.087,-0.098,0.116,0.115,0.103,0.070,-0.098,-0.096
-0.109,-0.095,-0.090,-0.090,-0.113,-0.105,0.095,0.068,0.087,-0.098,0.115,0.114,0.103,0.070,-0.097,-0.096
-0.110,-0.096,-0.090,-0.088,-0.113,-0.105,0.096,0.069,0.088,-0.098,0.116,0.115,0.105,0.070,-0.097,-0.097
-0.100,-0.086,-0.082,-0.078,-0.101,-0.095,0.088,0.064,0.081,-0.088,0.107,0.105,0.097,0.063,-0.088,-0.090
-0.112,-0.097,-0.092,-0.090,-0.115,-0.107,0.098,0.070,0.089,-0.099,0.118,0.117,0.106,0.071,-0.099,-0.099
-0.097,-0.085,-0.080,-0.080,-0.101,-0.094,0.085,0.060,0.077,-0.087,0.103,0.102,0.092,0.062,-0.086,-0.085
-0.110,-0.095,-0.090,-0.088,-0.113,-0.105,0.096,0.069,0.088,-0.097,0.116,0.115,0.105,0.070,-0.097,-0.097
-0.109,-0.095,-0.090,-0.087,-0.112,-0.104,0.095,0.069,0.087,-0.097,0.116,0.114,0.104,0.070,-0.097,-0.097
-0.111,-0.097,-0.091,-0.090,-0.114,-0.106,0.097,0.070,0.089,-0.099,0.117,0.116,0.105,0.071,-0.099,-0.098
-0.108,-0.095,-0.090,-0.089,-0.112,-0.105,0.095,0.068,0.086,-0.097,0.115,0.114,0.102,0.070,-0.097,-0.095
-0.112,-0.097,-0.092,-0.091,-0.116,-0.107,0.098,0.070,0.089,-0.100,0.118,0.117,0.105,0.072,-0.099,-0.098
-0.104,-0.091,-0.086,-0.086,-0.108,-0.101,0.091,0.065,0.083,-0.093,0.110,0.109,0.098,0.067,-0.093,-0.091
-0.108,-0.094,-0.089,-0.089,-0.112,-0.104,0.094,0.067,0.086,-0.097,0.114,0.113,0.101,0.069,-0.096,-0.095
-0.104,-0.091,-0.086,-0.086,-0.108,-0.100,0.090,0.065,0.082,-0.093,0.110,0.109,0.098,0.067,-0.092,-0.091
-0.109,-0.095,-0.090,-0.089,-0.113,-0.105,0.095,0.068,0.086,-0.097,0.115,0.114,0.102,0.070,-0.097,-0.095
-0.046,-0.040,-0.038,-0.039,-0.049,-0.045,0.039,0.027,0.037,-0.042,0.051,0.049,0.045,0.030,-0.042,-0.040
-0.107,-0.094,-0.089,-0.088,-0.111,-0.103,0.093,0.067,0.085,-0.096,0.113,0.112,0.101,0.069,-0.095,-0.094
-0.100,-0.087,-0.083,-0.083,-0.104,-0.097,0.087,0.062,0.080,-0.090,0.106,0.105,0.094,0.064,-0.089,-0.088
